Fas	Fas	NN	B-NP	B-protein	Mention 3	
at	at	IN	B-PP	O	
10	10	CD	B-NP	O	
times	time	NNS	I-NP	O	
the	the	DT	B-NP	O	
concentration	concentration	NN	I-NP	O	
of	of	IN	B-PP	O	
neural	neural	JJ	B-NP	B-protein	
agrin	agrin	NN	I-NP	I-protein	
does	do	VBZ	B-VP	O	
not	not	RB	I-VP	O	
reduce	reduce	VB	I-VP	O	
binding	binding	NN	B-NP	O	
or	or	CC	O	O	
AChR-aggregating	AChR-aggregating	JJ	B-NP	O	
activity	activity	NN	I-NP	O	
of	of	IN	B-PP	O	
neural	neural	JJ	B-NP	B-protein	
agrin	agrin	NN	I-NP	I-protein	
.	.	.	O	O	
Electrical	Electrical	JJ	B-NP	O	
muscle	muscle	NN	I-NP	O	
activity	activity	NN	I-NP	O	
affects	affect	VBZ	B-VP	O	
the	the	DT	B-NP	O	
stability	stability	NN	I-NP	O	
of	of	IN	B-PP	O	
agrin	agrin	NN	B-NP	O	Mention 156	
binding	binding	NN	I-NP	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
number	number	NN	I-NP	O	
,	,	,	O	O	
size	size	NN	B-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
spatial	spatial	JJ	B-NP	O	
distribution	distribution	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
neural	neural	JJ	I-NP	O	Mention 157	
agrin	agrin	NN	I-NP	O	
--	--	:	O	O	
induced	induce	VBN	B-NP	O	
AChR	AChR	NN	I-NP	O	
aggregates	aggregate	NNS	I-NP	O	
.	.	.	O	O	
Injected	Inject	VBN	B-NP	O	
agrin	agrin	NN	I-NP	O	Mention 158	
is	be	VBZ	B-VP	O	
recovered	recover	VBN	I-VP	O	
from	from	IN	B-PP	O	
the	the	DT	B-NP	O	
muscles	muscle	NNS	I-NP	O	
together	together	RB	B-ADVP	O	
with	with	IN	B-PP	O	
laminin	laminin	NN	B-NP	B-protein	Mention 159	
and	and	CC	O	O	
both	both	DT	B-NP	O	Mention 160	
proteins	protein	NNS	I-NP	O	
coimmunoprecipitate	coimmunoprecipitate	VBP	B-VP	O	
,	,	,	O	O	
indicating	indicate	VBG	B-VP	O	
that	that	IN	B-SBAR	O	
agrin	agrin	NN	B-NP	O	Mention 161	
binds	bind	VBZ	B-VP	O	
to	to	TO	B-PP	O	
laminin	laminin	NN	B-NP	B-protein	Mention 162	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
.	.	.	O	O	
Thus	Thus	RB	B-ADVP	O	
,	,	,	O	O	
the	the	DT	B-NP	O	
present	present	JJ	I-NP	O	
approach	approach	NN	I-NP	O	
provides	provide	VBZ	B-VP	O	
a	a	DT	B-NP	O	
novel	novel	JJ	I-NP	O	
,	,	,	I-NP	O	
simple	simple	JJ	I-NP	O	
,	,	,	O	O	
and	and	CC	O	O	
efficient	efficient	JJ	B-NP	O	
method	method	NN	I-NP	O	
for	for	IN	B-PP	O	
studying	study	VBG	B-VP	O	
the	the	DT	B-NP	O	
effects	effect	NNS	I-NP	O	
of	of	IN	B-PP	O	
agrin	agrin	NN	B-NP	O	
on	on	IN	B-PP	O	
muscle	muscle	NN	B-NP	O	
under	under	IN	B-PP	O	
controlled	controlled	JJ	B-NP	O	
conditions	condition	NNS	I-NP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
.	.	.	O	O	
p70	p70	NN	B-NP	B-protein	Mention 167	
S6	S6	NN	I-NP	I-protein	
kinase	kinase	NN	I-NP	I-protein	
(	(	(	O	O	
p70	p70	NN	B-NP	B-protein	Mention 168	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
)	)	)	O	O	
is	be	VBZ	B-VP	O	
a	a	DT	B-NP	O	
mitogen-activated	mitogen-activated	JJ	I-NP	B-protein	Mention 169	
protein	protein	NN	I-NP	I-protein	
kinase	kinase	NN	I-NP	I-protein	
that	that	WDT	B-NP	O	
plays	play	VBZ	B-VP	O	
a	a	DT	B-NP	O	
central	central	JJ	I-NP	O	
role	role	NN	I-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
control	control	NN	I-NP	O	
of	of	IN	B-PP	O	
mRNA	mRNA	NN	B-NP	B-RNA	
translation	translation	NN	I-NP	O	
.	.	.	O	O	
It	It	PRP	B-NP	O	Mention 170	
physiologically	physiologically	RB	B-ADVP	O	
phosphorylates	phosphorylate	VBZ	B-VP	O	
the	the	DT	B-NP	O	
S6	S6	NN	I-NP	B-protein	Mention 171	
protein	protein	NN	I-NP	I-protein	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
40s	40s	CD	I-NP	B-protein	
ribosomal	ribosomal	JJ	I-NP	I-protein	
subunit	subunit	NN	I-NP	I-protein	
in	in	IN	B-PP	O	
response	response	NN	B-NP	O	
to	to	TO	B-PP	O	
mitogenic	mitogenic	JJ	B-NP	O	
stimuli	stimulus	NNS	I-NP	O	
and	and	CC	O	O	
is	be	VBZ	B-VP	O	
a	a	DT	B-NP	O	
downstream	downstream	JJ	I-NP	O	
component	component	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
rapamycin-sensitive	rapamycin-sensitive	JJ	I-NP	O	
pathway	pathway	NN	I-NP	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
includes	include	VBZ	B-VP	O	
the	the	DT	B-NP	O	
12-kDa	12-kDa	JJ	I-NP	B-protein	
FK506	FK506	NN	I-NP	I-protein	Mention 172	
binding	binding	NN	I-NP	I-protein	
protein	protein	NN	I-NP	I-protein	
and	and	CC	O	O	
includes	include	VBZ	B-VP	O	
rapamycin	rapamycin	NN	B-NP	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
12-kDa	12-kDa	JJ	I-NP	B-protein	
FK506	FK506	NN	I-NP	I-protein	
binding	binding	NN	I-NP	I-protein	
protein	protein	NN	I-NP	I-protein	
target	target	NN	I-NP	O	
1	1	CD	I-NP	O	
.	.	.	O	O	
Here	Here	RB	B-ADVP	O	
,	,	,	O	O	
we	we	PRP	B-NP	O	
report	report	VBP	B-VP	O	
the	the	DT	B-NP	O	
identification	identification	NN	I-NP	O	
of	of	IN	B-PP	O	
neurabin	neurabin	NN	B-NP	O	Mention 173	
(	(	(	O	O	
neural	neural	JJ	B-NP	B-protein	
tissue-specific	tissue-specific	JJ	I-NP	I-protein	
F-actin	F-actin	NN	I-NP	I-protein	Mention 174	
binding	binding	NN	I-NP	I-protein	
protein	protein	NN	I-NP	I-protein	
)	)	)	O	O	
,	,	,	O	O	
a	a	DT	B-NP	O	Mention 175	
neuronally	neuronally	RB	I-NP	B-protein	
enriched	enrich	VBN	I-NP	I-protein	
protein	protein	NN	I-NP	I-protein	
of	of	IN	B-PP	O	
1	1	CD	B-NP	O	
,	,	,	O	O	
095	095	CD	B-NP	O	
amino	amino	NN	I-NP	O	
acids	acid	NNS	I-NP	O	
that	that	WDT	B-NP	O	
contains	contain	VBZ	B-VP	O	
a	a	DT	B-NP	O	
PDZ	PDZ	NN	I-NP	B-protein	
domain	domain	NN	I-NP	I-protein	
and	and	CC	O	O	
binds	bind	VBZ	B-VP	O	
p70	p70	NN	B-NP	B-protein	Mention 176	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
.	.	.	O	O	
We	We	PRP	B-NP	O	
demonstrate	demonstrate	VBP	B-VP	O	
the	the	DT	B-NP	O	
neurabin	neurabin	NN	I-NP	B-protein	Mention 177	
p70	NN	I-NP	B-protein		Mention 178	
(	(	(	O	O	
S6k	S6k	NN	B-NP	O	
)	)	)	O	O	
interaction	interaction	NN	B-NP	O	
by	by	IN	B-PP	O	
yeast	yeast	NN	B-NP	O	
two-hybrid	two-hybrid	JJ	I-NP	O	
analysis	analysis	NN	I-NP	O	
and	and	CC	O	O	
biochemical	biochemical	JJ	B-NP	O	
techniques	technique	NNS	I-NP	O	
.	.	.	O	O	
p70	p70	NN	B-NP	B-protein	Mention 179	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
and	and	CC	O	O	
neurabin	neurabin	NN	B-NP	O	Mention 180	
coimmunoprecipitate	coimmunoprecipitate	VBP	B-VP	O	
from	from	IN	B-PP	O	
transfected	transfecte	VBN	B-NP	B-cell_line	
HEK293	HEK293	NN	I-NP	I-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
.	.	.	O	O	
Site-directed	Site-directed	JJ	B-NP	O	
mutagenesis	mutagenesis	NN	I-NP	O	
of	of	IN	B-PP	O	
neurabin	neurabin	NN	B-NP	B-protein	Mention 181	
implicates	implicate	VBZ	B-VP	O	
its	its	PRP$	B-NP	O	Mention 182	Mention 183	
PDZ	PDZ	NN	I-NP	B-protein	
domain	domain	NN	I-NP	I-protein	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
interaction	interaction	NN	I-NP	O	
with	with	IN	B-PP	O	
p70	p70	NN	B-NP	B-protein	Mention 184	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
,	,	,	O	O	
and	and	CC	O	O	
deletion	deletion	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
carboxyl-terminal	carboxyl-terminal	JJ	I-NP	B-protein	
five	five	CD	I-NP	I-protein	
amino	amino	NN	I-NP	I-protein	
acids	acid	NNS	I-NP	I-protein	
of	of	IN	B-PP	O	
p70	p70	NN	B-NP	B-protein	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
abrogates	abrogate	VBZ	B-VP	O	
the	the	DT	B-NP	O	
interaction	interaction	NN	I-NP	O	
.	.	.	O	O	
Cotransfection	Cotransfection	NN	B-NP	O	
of	of	IN	B-PP	O	
neurabin	neurabin	NN	B-NP	B-protein	
in	in	IN	B-PP	O	
HEK293	HEK293	NN	B-NP	B-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
activates	activate	VBZ	B-VP	O	
p70	p70	NN	B-NP	B-protein	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
kinase	kinase	NN	B-NP	I-protein	
activity	activity	NN	I-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	
mRNA	mRNA	NN	I-NP	B-RNA	
of	of	IN	B-PP	O	
neurabin	neurabin	NN	B-NP	B-protein	
and	and	CC	O	O	
p70	p70	NN	B-NP	B-protein	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
show	show	VBP	B-VP	O	
striking	striking	JJ	B-NP	O	
colocalization	colocalization	NN	I-NP	O	
in	in	IN	B-PP	O	
brain	brain	NN	B-NP	O	
sections	section	NNS	I-NP	O	
by	by	IN	B-PP	O	
in	in	FW	B-NP	O	
situ	situ	FW	I-NP	O	
hybridization	hybridization	NN	I-NP	O	
.	.	.	O	O	
Subcellular	Subcellular	JJ	B-NP	O	
fractionation	fractionation	NN	I-NP	O	
of	of	IN	B-PP	O	
rat	rat	NN	B-NP	O	
brain	brain	NN	I-NP	O	
demonstrates	demonstrate	VBZ	B-VP	O	
that	that	IN	B-SBAR	O	
neurabin	neurabin	NN	B-NP	B-protein	
and	and	CC	O	O	
p70	p70	NN	B-NP	B-protein	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
both	both	DT	B-NP	O	
localize	localize	VBP	B-VP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
soluble	soluble	JJ	I-NP	O	
fraction	fraction	NN	I-NP	O	
of	of	IN	B-PP	O	
synaptosomes	synaptosome	NNS	B-NP	O	
.	.	.	O	O	
By	By	IN	B-PP	O	
way	way	NN	B-NP	O	
of	of	IN	B-PP	O	
its	its	PRP$	B-NP	O	Mention 185	Mention 186	
PDZ	PDZ	NN	I-NP	B-protein	
domain	domain	NN	I-NP	I-protein	
,	,	,	O	O	
the	the	DT	B-NP	O	
neuronal-specific	neuronal-specific	JJ	I-NP	B-protein	Mention 187	
neurabin	neurabin	NN	I-NP	I-protein	
may	may	MD	B-VP	O	
target	target	VB	I-VP	O	
p70	p70	NN	B-NP	B-protein	
(	(	(	O	I-protein	
S6k	S6k	NN	B-NP	I-protein	
)	)	)	O	I-protein	
to	to	TO	B-VP	O	
nerve	nerve	VB	I-VP	O	
terminals	terminal	NNS	B-NP	O	
.	.	.	O	O	
The	The	DT	B-NP	O	Mention 188	
fusion	fusion	NN	I-NP	B-DNA	
gene	gene	NN	I-NP	I-DNA	
CBFB-MYH11	CBFB-MYH11	NN	I-NP	I-DNA	
is	be	VBZ	B-VP	O	
generated	generate	VBN	I-VP	O	
by	by	IN	B-PP	O	
the	the	DT	B-NP	O	
chromosome	chromosome	NN	I-NP	B-DNA	
16	16	CD	I-NP	I-DNA	
inversion	inversion	NN	I-NP	O	
associated	associate	VBN	B-VP	O	
with	with	IN	B-PP	O	
acute	acute	JJ	B-NP	O	
myeloid	myeloid	JJ	I-NP	O	
leukemias	leukemia	NNS	I-NP	O	
.	.	.	O	O	
This	This	DT	B-NP	O	Mention 189	
gene	gene	NN	I-NP	O	
encodes	encode	VBZ	B-VP	O	
a	a	DT	B-NP	O	
chimeric	chimeric	JJ	I-NP	B-protein	
protein	protein	NN	I-NP	I-protein	
involving	involve	VBG	B-VP	O	
the	the	DT	B-NP	O	
core	core	NN	I-NP	O	Mention 190	
binding	binding	NN	I-NP	O	
factor	factor	NN	I-NP	O	
beta	beta	NN	I-NP	O	
(	(	(	O	O	
CBFbeta	CBFbeta	NN	B-NP	B-protein	Mention 191	
)	)	)	O	O	
and	and	CC	O	O	
the	the	DT	B-NP	O	
smooth-muscle	smooth-muscle	NN	I-NP	B-protein	Mention 192	
myosin	myosin	NN	I-NP	I-protein	
heavy	heavy	JJ	I-NP	I-protein	
chain	chain	NN	I-NP	I-protein	
SMMHC	SMMHC	NN	I-NP	B-protein	Mention 193	
.	.	.	O	O	
Mouse	Mouse	NN	B-NP	O	
model	model	NN	I-NP	O	
studies	study	NNS	I-NP	O	
suggest	suggest	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
this	this	DT	B-NP	O	
chimeric	chimeric	JJ	I-NP	B-protein	Mention 194	
protein	protein	NN	I-NP	I-protein	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	I-NP	O	
dominantly	dominantly	RB	B-ADVP	O	
suppresses	suppress	VBZ	B-VP	O	
the	the	DT	B-NP	O	
function	function	NN	I-NP	O	Mention 195	
of	of	IN	B-PP	O	
CBF	CBF	NN	B-NP	B-protein	
,	,	,	O	O	
a	a	DT	B-NP	O	
heterodimeric	heterodimeric	JJ	I-NP	B-protein	
transcription	transcription	NN	I-NP	I-protein	
factor	factor	NN	I-NP	I-protein	
composed	compose	VBN	B-VP	O	
of	of	IN	B-PP	O	
DNA	DNA	NN	B-NP	B-protein	
binding	binding	NN	I-NP	I-protein	
subunits	subunit	NNS	I-NP	I-protein	
(	(	(	O	O	
CBFalpha1	CBFalpha1	NN	B-NP	B-protein	
to	to	TO	B-PP	O	
3	3	CD	B-NP	O	
)	)	)	O	O	
and	and	CC	O	O	
a	a	DT	B-NP	O	
non-DNA	non-DNA	JJ	I-NP	B-protein	
binding	binding	NN	I-NP	I-protein	
subunit	subunit	NN	I-NP	I-protein	
(	(	(	O	O	
CBFbeta	CBFbeta	NN	B-NP	B-protein	
)	)	)	O	O	
.	.	.	O	O	
This	This	DT	B-NP	O	Mention 196	
dominant	dominant	JJ	I-NP	O	
suppression	suppression	NN	I-NP	O	
results	result	NNS	B-NP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
blockage	blockage	NN	I-NP	O	
of	of	IN	B-PP	O	
hematopoiesis	hematopoiesis	NN	B-NP	O	
in	in	IN	B-PP	O	
mice	mouse	NNS	B-NP	O	
and	and	CC	O	O	
presumably	presumably	RB	B-VP	O	
contributes	contribute	VBZ	I-VP	O	
to	to	TO	B-PP	O	
leukemogenesis	leukemogenesis	NN	B-NP	O	
.	.	.	O	O	
We	We	PRP	B-NP	O	
used	use	VBD	B-VP	O	
transient-transfection	transient-transfection	NN	B-NP	O	
assays	assay	NNS	I-NP	O	
,	,	,	O	O	
in	in	IN	B-PP	O	
combination	combination	NN	B-NP	O	
with	with	IN	B-PP	O	
immunofluorescence	immunofluorescence	NN	B-NP	O	
and	and	CC	O	O	
green	green	JJ	B-NP	B-protein	
fluorescent	fluorescent	JJ	I-NP	I-protein	
protein-tagged	protein-tagged	JJ	I-NP	I-protein	
proteins	protein	NNS	I-NP	I-protein	
,	,	,	O	O	
to	to	TO	B-VP	O	
monitor	monitor	VB	I-VP	O	
subcellular	subcellular	JJ	B-NP	O	
localization	localization	NN	I-NP	O	
of	of	IN	B-PP	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
,	,	,	O	O	
CBFbeta	CBFbeta	NN	B-NP	B-protein	
,	,	,	O	O	
and	and	CC	O	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
(	(	(	O	O	
also	also	RB	B-VP	O	
known	know	VBN	I-VP	O	
as	as	IN	B-PP	O	
AML1	AML1	NN	B-NP	B-protein	
or	or	CC	O	O	
PEBP2alphaB	PEBP2alphaB	NN	B-NP	B-protein	
)	)	)	O	O	
.	.	.	O	O	
When	When	WRB	B-ADVP	O	
expressed	express	VBN	B-VP	O	
individually	individually	RB	B-ADVP	O	
,	,	,	O	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
located	locate	VBN	I-VP	O	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
nuclei	nucleus	NNS	I-NP	O	
of	of	IN	B-PP	O	
transfected	transfecte	VBN	B-NP	B-cell_line	
cells	cell	NNS	I-NP	I-cell_line	
,	,	,	O	O	
whereas	whereas	IN	O	O	
CBFbeta	CBFbeta	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
distributed	distribute	VBN	I-VP	O	
throughout	throughout	IN	B-PP	O	
the	the	DT	B-NP	O	
cell	cell	NN	I-NP	O	
.	.	.	O	O	
On	On	IN	B-PP	O	
the	the	DT	B-NP	O	
other	other	JJ	I-NP	O	
hand	hand	NN	I-NP	O	
,	,	,	O	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
formed	form	VBD	B-VP	O	
filament-like	filament-like	JJ	B-NP	O	
structures	structure	NNS	I-NP	O	
that	that	WDT	B-NP	O	
colocalized	colocalize	VBD	B-VP	O	
with	with	IN	B-PP	O	
actin	actin	NN	B-NP	B-protein	
filaments	filament	NNS	I-NP	I-protein	
.	.	.	O	O	
Upon	Upon	IN	B-PP	O	
cotransfection	cotransfection	NN	B-NP	O	
,	,	,	O	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
able	able	JJ	B-ADJP	O	
to	to	TO	B-VP	O	
drive	drive	VB	I-VP	O	
localization	localization	NN	B-NP	O	
of	of	IN	B-PP	O	
CBFbeta	CBFbeta	NN	B-NP	B-protein	
into	into	IN	B-PP	O	
the	the	DT	B-NP	O	
nucleus	nucleus	NN	I-NP	O	
in	in	IN	B-PP	O	
a	a	DT	B-NP	O	
dose-dependent	dose-dependent	JJ	I-NP	O	
manner	manner	NN	I-NP	O	
.	.	.	O	O	
In	In	IN	B-PP	O	
,	,	,	O	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
colocalized	colocalize	VBD	B-VP	O	
with	with	IN	B-PP	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
along	along	IN	B-PP	O	
the	the	DT	B-NP	O	
filaments	filament	NNS	I-NP	O	
instead	instead	RB	B-CONJP	O	
of	of	IN	I-CONJP	O	
localizing	localize	VBG	B-VP	O	
to	to	TO	B-PP	O	
the	the	DT	B-NP	O	
nucleus	nucleus	NN	I-NP	O	
.	.	.	O	O	
Deletion	Deletion	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
CBFalpha-interacting	CBFalpha-interacting	JJ	I-NP	B-protein	
domain	domain	NN	I-NP	I-protein	
within	within	IN	B-PP	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
abolished	abolish	VBD	B-VP	O	
this	this	DT	B-NP	O	
CBFalpha2	CBFalpha2	NN	I-NP	B-protein	
sequestration	sequestration	NN	I-NP	O	
,	,	,	O	O	
whereas	whereas	IN	O	O	
truncation	truncation	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
C-terminal-end	C-terminal-end	JJ	I-NP	B-protein	
SMMHC	SMMHC	NN	I-NP	I-protein	
domain	domain	NN	I-NP	I-protein	
led	lead	VBD	B-VP	O	
to	to	TO	B-PP	O	
nuclear	nuclear	JJ	B-NP	O	
localization	localization	NN	I-NP	O	
of	of	IN	B-PP	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
when	when	WRB	B-ADVP	O	
coexpressed	coexpresse	VBN	B-VP	O	
with	with	IN	B-PP	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
.	.	.	O	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
sequestration	sequestration	NN	I-NP	O	
by	by	IN	B-PP	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
was	be	VBD	B-VP	O	
further	further	RB	I-VP	O	
confirmed	confirm	VBN	I-VP	O	
in	in	FW	B-ADVP	O	
vivo	vivo	FW	I-ADVP	O	
in	in	IN	B-PP	O	
a	a	DT	B-NP	O	
knock-in	knock-in	JJ	I-NP	O	
mouse	mouse	NN	I-NP	O	
model	model	NN	I-NP	O	
.	.	.	O	O	
These	These	DT	B-NP	O	
observations	observation	NNS	I-NP	O	
suggest	suggest	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
CBFbeta-SMMHC	CBFbeta-SMMHC	NN	B-NP	B-protein	
plays	play	VBZ	B-VP	O	
a	a	DT	B-NP	O	
dominant	dominant	JJ	I-NP	O	
negative	negative	JJ	I-NP	O	
role	role	NN	I-NP	O	
by	by	IN	B-PP	O	
sequestering	sequester	VBG	B-VP	O	
CBFalpha2	CBFalpha2	NN	B-NP	B-protein	
into	into	IN	B-PP	O	
cytoskeletal	cytoskeletal	JJ	B-NP	O	
filaments	filament	NNS	I-NP	O	
and	and	CC	I-NP	O	
aggregates	aggregate	NNS	I-NP	O	
,	,	,	O	O	
thereby	thereby	RB	B-VP	O	
disrupting	disrupt	VBG	I-VP	O	
CBFalpha2-mediated	CBFalpha2-mediated	JJ	B-NP	O	
regulation	regulation	NN	I-NP	O	
of	of	IN	B-PP	O	
gene	gene	NN	B-NP	O	
expression	expression	NN	I-NP	O	
.	.	.	O	O	
Differentiating	Differentiate	VBG	B-NP	B-cell_type	Mention 197	
cells	cell	NNS	I-NP	I-cell_type	
undergo	undergo	VBP	B-VP	O	
programmed	program	VBN	I-VP	O	
alterations	alteration	NNS	B-NP	O	
in	in	IN	B-PP	O	
their	their	PRP$	B-NP	O	Mention 198	Mention 199	
patterns	pattern	NNS	I-NP	O	
of	of	IN	B-PP	O	
gene	gene	NN	B-NP	O	
expression	expression	NN	I-NP	O	
,	,	,	O	O	
which	which	WDT	B-NP	O	
are	be	VBP	B-VP	O	
often	often	RB	I-VP	O	
regulated	regulate	VBN	I-VP	O	
by	by	IN	B-PP	O	
structural	structural	JJ	B-NP	O	
changes	change	NNS	I-NP	O	
in	in	IN	B-PP	O	
chromatin	chromatin	NN	B-NP	B-DNA	
.	.	.	O	O	
Here	Here	RB	B-ADVP	O	
we	we	PRP	B-NP	O	
demonstrate	demonstrate	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
T	T	NN	B-NP	O	
cell	cell	NN	I-NP	O	
differentiation	differentiation	NN	I-NP	O	
results	result	VBZ	B-VP	O	
in	in	IN	B-PP	O	
long-range	long-range	JJ	B-NP	O	
changes	change	NNS	I-NP	O	Mention 200	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
chromatin	chromatin	NN	I-NP	B-DNA	
structure	structure	NN	I-NP	O	
of	of	IN	B-PP	O	
effector	effector	NN	B-NP	B-DNA	
cytokine	cytokine	NN	I-NP	I-DNA	
genes	gene	NNS	I-NP	I-DNA	
,	,	,	O	O	
which	which	WDT	B-NP	O	Mention 201	
persist	persist	NN	B-NP	O	
in	in	IN	B-PP	O	
resting	rest	VBG	B-NP	O	
Th1	Th1	NN	I-NP	O	
and	and	CC	I-NP	O	
Th2	Th2	NN	I-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
in	in	IN	B-PP	O	
the	the	DT	B-NP	O	
absence	absence	NN	I-NP	O	
of	of	IN	B-PP	O	
further	further	JJ	B-NP	O	
stimulation	stimulation	NN	I-NP	O	
.	.	.	O	O	
Differentiation	Differentiation	NN	B-NP	O	
of	of	IN	B-PP	O	
naive	naive	JJ	B-NP	B-cell_type	
T	T	NN	I-NP	I-cell_type	
helper	helper	NN	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
into	into	IN	B-PP	O	
mature	mature	JJ	B-NP	B-cell_type	
Th2	Th2	NN	I-NP	I-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
is	be	VBZ	B-VP	O	
associated	associate	VBN	I-VP	O	
with	with	IN	B-PP	O	
chromatin	chromatin	NN	B-NP	B-DNA	
remodeling	remodeling	NN	I-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
IL-4	IL-4	NN	I-NP	B-protein	
and	and	CC	I-NP	O	
IL-13	IL-13	NN	I-NP	B-DNA	
genes	gene	NNS	I-NP	I-DNA	
,	,	,	O	O	
whereas	whereas	IN	B-PP	O	
differentiation	differentiation	NN	B-NP	O	
into	into	IN	B-PP	O	
Th1	Th1	NN	B-NP	B-cell_type	
cells	cell	NNS	I-NP	I-cell_type	
evokes	evoke	VBZ	B-VP	O	
remodeling	remodeling	NN	B-NP	O	
of	of	IN	B-PP	O	
the	the	DT	B-NP	O	
IFNgamma	IFNgamma	NN	I-NP	B-protein	
but	but	CC	B-NP	O	
not	not	RB	I-NP	O	
IL-4	IL-4	NN	B-NP	B-protein	
or	or	CC	O	O	
IL-13	IL-13	NN	B-NP	B-DNA	
genes	gene	NNS	I-NP	I-DNA	
.	.	.	O	O	
IL-4	IL-4	NN	B-NP	B-protein	
locus	locus	NN	I-NP	O	
remodeling	remodeling	NN	I-NP	O	
is	be	VBZ	B-VP	O	
accompanied	accompany	VBN	I-VP	O	
by	by	IN	B-PP	O	
demethylation	demethylation	NN	B-NP	O	
and	and	CC	O	O	
requires	require	VBZ	B-VP	O	
both	both	CC	O	O	
antigen	antigen	NN	B-NP	O	
stimulation	stimulation	NN	I-NP	O	
and	and	CC	O	O	
STAT6	STAT6	NN	B-NP	B-protein	
activation	activation	NN	I-NP	O	
.	.	.	O	O	
We	We	PRP	B-NP	O	
propose	propose	VBP	B-VP	O	
that	that	IN	B-SBAR	O	
chromatin	chromatin	NN	B-NP	B-DNA	
remodeling	remodeling	NN	I-NP	O	
of	of	IN	B-PP	O	
cytokine	cytokine	NN	B-NP	B-DNA	
gene	gene	NN	I-NP	I-DNA	
loci	locus	NNS	I-NP	I-DNA	
is	be	VBZ	B-VP	O	
functionally	functionally	RB	I-VP	O	
associated	associate	VBN	I-VP	O	
with	with	IN	B-PP	O	
productive	productive	JJ	B-NP	O	
T	T	NN	I-NP	O	
cell	cell	NN	I-NP	O	
differentiation	differentiation	NN	I-NP	O	
and	and	CC	O	O	
may	may	MD	B-VP	O	
